name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.denseblock2.denselayer3.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer3.branch1b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer3.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 192, 28, 28]","[1, 32, 28, 28]",4816896,4816896,0,9633792,6144,25088
features.denseblock2.denselayer3.branch2a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer3.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer3.branch2b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer3.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 28, 28]","[1, 16, 28, 28]",1806336,1806336,0,3612672,2304,12544
features.denseblock2.denselayer3.branch2c.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer4.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 224, 28, 28]","[1, 32, 28, 28]",5619712,5619712,0,11239424,7168,25088
features.denseblock2.denselayer4.branch1a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer4.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer4.branch1b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer4.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=32","[1, 224, 28, 28]","[1, 32, 28, 28]",5619712,5619712,0,11239424,7168,25088
features.denseblock2.denselayer4.branch2a.norm,None,"[1, 32, 28, 28]","[1, 32, 28, 28]",25088,25088,0,50176,0,25088
features.denseblock2.denselayer4.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 32, 28, 28]","[1, 16, 28, 28]",3612672,3612672,0,7225344,4608,12544
features.denseblock2.denselayer4.branch2b.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.denseblock2.denselayer4.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 28, 28]","[1, 16, 28, 28]",1806336,1806336,0,3612672,2304,12544
features.denseblock2.denselayer4.branch2c.norm,None,"[1, 16, 28, 28]","[1, 16, 28, 28]",12544,12544,0,25088,0,12544
features.transition2.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=256","[1, 256, 28, 28]","[1, 256, 28, 28]",51380224,51380224,0,102760448,65536,200704
features.transition2.norm,None,"[1, 256, 28, 28]","[1, 256, 28, 28]",200704,200704,0,401408,0,200704
features.transition2_pool,"kernel=2x2,stride=2x2,pad=0x0,type=avg","[1, 256, 28, 28]","[1, 256, 14, 14]",50176,200704,0,250880,0,50176
features.denseblock3.denselayer1.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 256, 14, 14]","[1, 64, 14, 14]",3211264,3211264,0,6422528,16384,12544
features.denseblock3.denselayer1.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer1.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer1.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer1.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 256, 14, 14]","[1, 64, 14, 14]",3211264,3211264,0,6422528,16384,12544
features.denseblock3.denselayer1.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer1.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer1.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer1.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 14, 14]","[1, 16, 14, 14]",451584,451584,0,903168,2304,3136
features.denseblock3.denselayer1.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer2.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 288, 14, 14]","[1, 64, 14, 14]",3612672,3612672,0,7225344,18432,12544
features.denseblock3.denselayer2.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer2.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer2.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer2.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 288, 14, 14]","[1, 64, 14, 14]",3612672,3612672,0,7225344,18432,12544
features.denseblock3.denselayer2.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer2.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer2.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer2.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 14, 14]","[1, 16, 14, 14]",451584,451584,0,903168,2304,3136
features.denseblock3.denselayer2.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer3.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 320, 14, 14]","[1, 64, 14, 14]",4014080,4014080,0,8028160,20480,12544
features.denseblock3.denselayer3.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer3.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer3.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer3.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 320, 14, 14]","[1, 64, 14, 14]",4014080,4014080,0,8028160,20480,12544
features.denseblock3.denselayer3.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
